Year,Event,Player,Team,Value
1946,Total Bases,Ted Williams,Boston,343
1946,Triples,Hank Edwards,Cleveland,16
1947,Base on Balls,Ted Williams,Boston,162
1947,Batting Average,Ted Williams,Boston,.343
1947,Doubles,Lou Boudreau,Cleveland,45
1947,Hits,Johnny Pesky,Boston,207
1947,Home Runs,Ted Williams,Boston,32
1947,On Base Percentage,Ted Williams,Boston,.499
1947,RBI,Ted Williams,Boston,114
1947,Runs,Ted Williams,Boston,125
1947,Slugging Average,Ted Williams,Boston,.634
1947,Stolen Bases,Bob Dillinger,St. Louis,34
1947,Total Bases,Ted Williams,Boston,335
1947,Triples,Tommy Henrich,New York,13
1948,Base on Balls,Ted Williams,Boston,126
1948,Batting Average,Ted Williams,Boston,.369
1948,Doubles,Ted Williams,Boston,44
1948,Hits,Bob Dillinger,St. Louis,207
1948,Home Runs,Joe DiMaggio,New York,39
1948,On Base Percentage,Ted Williams,Boston,.497
1948,RBI,Joe DiMaggio,New York,155
1948,Runs,Tommy Henrich,New York,138
1948,Slugging Average,Ted Williams,Boston,.615
1948,Stolen Bases,Bob Dillinger,St. Louis,28
1948,Total Bases,Joe DiMaggio,New York,355
1948,Triples,Tommy Henrich,New York,14
1949,Base on Balls,Ted Williams,Boston,162
1949,Batting Average,George Kell,Detroit,.343
1949,Doubles,Ted Williams,Boston,39
1949,Hits,Dale Mitchell,Cleveland,203
1949,Home Runs,Ted Williams,Boston,43
